Image,ImageNumber,HighReferenceImage,Method,Parameter,MeanBrightness,IntensityVariance,StdContrast,MinIntensity,MaxIntensity,DarkPixelPercent,BrightPixelPercent,SaturatedPixelPercent,MichelsonContrast,Comment
23_low.png,23,23_high.png,Linear stretch,"full range [0,1]",0.141340583121541,0.0120673671790749,0.109851568851223,0,0.673206879066603,77.3079166666667,0,0,1,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
23_low.png,23,23_high.png,Gamma correction,"gamma = 0.4",0.232097463320912,0.0130400865094567,0.114193198175096,0,0.502818110141904,47.0516666666667,0,0,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.1944. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
23_low.png,23,23_high.png,Gamma correction,"gamma = 0.6",0.124145765452779,0.00555936490109515,0.0745611487377652,0,0.356644650001092,99.0245833333333,0,0,0.999999999999999,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0865. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
23_low.png,23,23_high.png,Gamma correction,"gamma = 0.8",0.0678425897073149,0.00222449832863721,0.0471645876546929,0,0.25301034662099,99.9995833333333,0,0,0.999999999999999,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0302. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
23_low.png,23,23_high.png,Gamma correction,"gamma = 1.2",0.0212077931266126,0.00032473855147686,0.0180205036410434,0,0.12740057041131,100,0,0,0.999999999999998,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0165. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
23_low.png,23,23_high.png,Log transform,"log(1+I)/log(2)",0.0527850766965846,0.00164894308785427,0.0406071802499788,0,0.238129156586534,100,0,0,0.999999999999999,"Ανεβάζει τη μέση φωτεινότητα από 0.0377 σε 0.0528 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
55_low.png,55,55_high.png,Original low-light,"",0.038170383408303,0.00101282469563537,0.0318249068440957,0,0.142028285648525,100,0,0,0.999999999999998,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
55_low.png,55,55_high.png,Linear stretch,"full range [0,1]",0.152085121392457,0.0160788393148658,0.126802363206944,0,0.56589395063084,74.985,0,0,1,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
55_low.png,55,55_high.png,Gamma correction,"gamma = 0.4",0.230266936402614,0.0141379592780643,0.118903150833207,0,0.457995691758012,48.0091666666667,0,0,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.1921. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
55_low.png,55,55_high.png,Gamma correction,"gamma = 0.6",0.123850275762972,0.0060926448922043,0.0780553963041909,0,0.309982053035038,95.3679166666667,0,0,0.999999999999999,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0857. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
55_low.png,55,55_high.png,Gamma correction,"gamma = 0.8",0.0681392890028413,0.00251444764746178,0.0501442683410754,0,0.209817205262766,100,0,0,0.999999999999999,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0300. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
55_low.png,55,55_high.png,Gamma correction,"gamma = 1.2",0.0216938223015151,0.000403366461071553,0.0200839851889896,0,0.0961474118515052,100,0,0,0.999999999999998,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0165. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
55_low.png,55,55_high.png,Log transform,"log(1+I)/log(2)",0.0533509511274729,0.00192496605373026,0.0438744350816082,0,0.191579695992351,100,0,0,0.999999999999999,"Ανεβάζει τη μέση φωτεινότητα από 0.0382 σε 0.0534 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
79_low.png,79,79_high.png,Original low-light,"",0.0872326975731605,0.00161307258276021,0.0401630748668501,0,1,99.9616666666667,0.00333333333333333,0.000833333333333333,1,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
79_low.png,79,79_high.png,Linear stretch,"full range [0,1]",0.0872326975731605,0.00161307258276021,0.0401630748668501,0,1,99.9616666666667,0.00333333333333333,0.000833333333333333,1,"Η αντίθεση δεν αυξάνεται έντονα επειδή το αρχικό εύρος ήταν ήδη αρκετά μεγάλο. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
79_low.png,79,79_high.png,Gamma correction,"gamma = 0.4",0.365336227313034,0.00575532173939939,0.0758638368354738,0,1,6.45625,0.00791666666666667,0.00125,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.2781. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
79_low.png,79,79_high.png,Gamma correction,"gamma = 0.6",0.224625361517393,0.004441161221473,0.0666420379450764,0,1,58.1570833333333,0.00375,0.00125,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.1374. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
79_low.png,79,79_high.png,Gamma correction,"gamma = 0.8",0.139399113663741,0.00281248457772972,0.0530328631862332,0,1,99.9320833333333,0.00375,0.000833333333333333,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0522. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
79_low.png,79,79_high.png,Gamma correction,"gamma = 1.2",0.0549992306095818,0.000878290169741953,0.0296359607528076,0,1,99.9704166666667,0.00333333333333333,0.000833333333333333,1,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0322. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
79_low.png,79,79_high.png,Log transform,"log(1+I)/log(2)",0.119665894445231,0.00281242950347975,0.0530323439372592,0,1,99.9466666666667,0.00375,0.000833333333333333,1,"Ανεβάζει τη μέση φωτεινότητα από 0.0872 σε 0.1197 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
111_low.png,111,111_high.png,Original low-light,"",0.0756839856960276,0.00177595274129722,0.0421420543079857,0,0.487574207551777,99.6608333333333,0,0,1,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
111_low.png,111,111_high.png,Linear stretch,"full range [0,1]",0.126139976160046,0.00493320205915894,0.0702367571799762,0,0.812623679252961,95.6616666666667,0.00208333333333333,0,1,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
111_low.png,111,111_high.png,Gamma correction,"gamma = 0.4",0.339569654737434,0.00753453245947914,0.0868016846580707,0,0.750153912989101,17.5125,0.000416666666666667,0,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.2639. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
111_low.png,111,111_high.png,Gamma correction,"gamma = 0.6",0.203438793045244,0.00526557998403438,0.0725643161893942,0,0.649768138717763,79.8520833333333,0,0,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.1278. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
111_low.png,111,111_high.png,Gamma correction,"gamma = 0.8",0.123405489106938,0.00316139148110559,0.0562262525970351,0,0.562844582274516,96.3504166666667,0,0,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0477. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
111_low.png,111,111_high.png,Gamma correction,"gamma = 1.2",0.0468816527832016,0.000970320969829191,0.0311499754386611,0,0.422391549549427,99.915,0,0,0.999999999999999,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0288. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
111_low.png,111,111_high.png,Log transform,"log(1+I)/log(2)",0.104147764333174,0.00307317445713974,0.0554362197226663,0,0.572862850484238,96.9154166666667,0,0,1,"Ανεβάζει τη μέση φωτεινότητα από 0.0757 σε 0.1041 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
146_low.png,146,146_high.png,Original low-light,"",0.0955567379883775,0.0024945467576257,0.0499454378059267,0,0.32014572283102,99.9995833333333,0,0,0.999999999999999,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
146_low.png,146,146_high.png,Linear stretch,"full range [0,1]",0.126911292640814,0.00440017097750138,0.0663337845859965,0,0.425193538134949,99.9991666666667,0,0,0.999999999999999,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
146_low.png,146,146_high.png,Gamma correction,"gamma = 0.4",0.364001677656961,0.0139515778670714,0.118116797565255,0,0.580380150426012,21.3745833333333,0,0,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.2684. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
146_low.png,146,146_high.png,Gamma correction,"gamma = 0.6",0.230066676331138,0.00885943450307798,0.0941245690724689,0,0.462352589182485,38.1920833333333,0,0,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.1345. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
146_low.png,146,146_high.png,Gamma correction,"gamma = 0.8",0.147527146722559,0.00487033807957643,0.0697878075280807,0,0.379446272208512,99.9770833333333,0,0,0.999999999999999,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0520. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
146_low.png,146,146_high.png,Gamma correction,"gamma = 1.2",0.0623391854292287,0.00123046922828413,0.0350780448184349,0,0.276794232122549,99.9995833333333,0,0,0.999999999999999,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0332. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
146_low.png,146,146_high.png,Log transform,"log(1+I)/log(2)",0.130040499130471,0.00448174083824123,0.0669458052326001,0,0.370300894884704,99.9995833333333,0,0,0.999999999999999,"Ανεβάζει τη μέση φωτεινότητα από 0.0956 σε 0.1300 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
179_low.png,179,179_high.png,Original low-light,"",0.0780549838287873,0.000836272189842568,0.0289183711478113,0,0.509170706467747,99.9916666666667,0,0,1,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
179_low.png,179,179_high.png,Linear stretch,"full range [0,1]",0.132693472508938,0.00241682662864502,0.0491612309512793,0,0.86559020099517,98.3991666666667,0.000833333333333333,0,1,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
179_low.png,179,179_high.png,Gamma correction,"gamma = 0.4",0.341088311691129,0.00443755923105201,0.0666150075512418,0,0.75987982652901,11.3633333333333,0.000833333333333333,0,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.2630. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
179_low.png,179,179_high.png,Gamma correction,"gamma = 0.6",0.206041219626543,0.00282909214375531,0.053189210783347,0,0.664017075711622,87.0854166666667,0,0,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.1280. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
179_low.png,179,179_high.png,Gamma correction,"gamma = 0.8",0.126093976341109,0.00158456343014181,0.039806575212417,0,0.581082295014453,99.6533333333333,0,0,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0480. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
179_low.png,179,179_high.png,Gamma correction,"gamma = 1.2",0.0488176499100058,0.000430376776252948,0.0207455242462789,0,0.446688432008921,99.9970833333333,0,0,1,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0292. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
179_low.png,179,179_high.png,Log transform,"log(1+I)/log(2)",0.107169113869992,0.00147999907774619,0.0384707561369177,0,0.59103597479116,99.80375,0,0,1,"Ανεβάζει τη μέση φωτεινότητα από 0.0781 σε 0.1072 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
493_low.png,493,493_high.png,Original low-light,"",0.0251649663566211,0.000605195025164968,0.0246007118832965,0,0.116033813558695,100,0,0,0.999999999999998,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
493_low.png,493,493_high.png,Linear stretch,"full range [0,1]",0.156513815144838,0.0234103548550577,0.153004427566844,0,0.72167371847481,76.6891666666667,0,0,1,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
493_low.png,493,493_high.png,Gamma correction,"gamma = 0.4",0.186383234508629,0.0106275444875897,0.103089982479335,0,0.420691253160411,70.6804166666667,0,0,0.999999999999999,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.1612. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
493_low.png,493,493_high.png,Gamma correction,"gamma = 0.6",0.0929171336476409,0.00422917514051545,0.0650321085350571,0,0.273494110869713,99.8445833333333,0,0,0.999999999999999,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0678. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
493_low.png,493,493_high.png,Gamma correction,"gamma = 0.8",0.0477427946103553,0.00161919606450828,0.0402392353867252,0,0.178036454528802,100,0,0,0.999999999999999,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0226. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
493_low.png,493,493_high.png,Gamma correction,"gamma = 1.2",0.0135493459290816,0.000223416896456958,0.0149471367310585,0,0.0757039723933572,100,0,0,0.999999999999997,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0116. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
493_low.png,493,493_high.png,Log transform,"log(1+I)/log(2)",0.0353912465390113,0.00116727897595362,0.0341654646676088,0,0.158161252723211,100,0,0,0.999999999999999,"Ανεβάζει τη μέση φωτεινότητα από 0.0252 σε 0.0354 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
547_low.png,547,547_high.png,Original low-light,"",0.0620225796112242,0.000943074620568649,0.0307095200315578,0,0.147400168919416,100,0,0,0.999999999999998,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
547_low.png,547,547_high.png,Linear stretch,"full range [0,1]",0.292884403719669,0.0210299818938534,0.145017177926801,0,0.696056353230576,37.6125,0,0,1,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
547_low.png,547,547_high.png,Gamma correction,"gamma = 0.4",0.313611981375732,0.00657828393451805,0.0811066207810315,0,0.464932844217782,18.4566666666667,0,0,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.2516. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
547_low.png,547,547_high.png,Gamma correction,"gamma = 0.6",0.180868774933003,0.00382685311220357,0.061861564094384,0,0.317022310047295,87.2708333333333,0,0,0.999999999999999,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.1188. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
547_low.png,547,547_high.png,Gamma correction,"gamma = 0.8",0.105435743995557,0.00196464599519561,0.0443243273518686,0,0.216168501451883,100,0,0,0.999999999999999,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0434. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
547_low.png,547,547_high.png,Gamma correction,"gamma = 1.2",0.0367717913810319,0.000435501880432764,0.0208686818087,0,0.100509365469059,100,0,0,0.999999999999998,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0253. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
547_low.png,547,547_high.png,Log transform,"log(1+I)/log(2)",0.0861822697194375,0.00173676107014264,0.0416744654451937,0,0.198366591960372,100,0,0,0.999999999999999,"Ανεβάζει τη μέση φωτεινότητα από 0.0620 σε 0.0862 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
665_low.png,665,665_high.png,Original low-light,"",0.0340600344791864,0.00036819954737082,0.019188526451263,0,0.501851892073286,99.9991666666667,0,0,1,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
665_low.png,665,665_high.png,Linear stretch,"full range [0,1]",0.0653030736255078,0.00135350644851533,0.0367900319178351,0,0.962197236681864,99.9858333333333,0.000416666666666667,0,1,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
665_low.png,665,665_high.png,Gamma correction,"gamma = 0.4",0.237412011295299,0.00638641891614961,0.0799150731473707,0,0.758957590989737,42.8891666666667,0.000416666666666667,0,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.2034. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
